time,station,part,family,type,activity
2022-01-01T07:46:00.000000000+00:00,Hospital Source,HNB-GIN.015-9.0,KIT,HNB,EXIT
2022-01-01T07:46:00.000000000+00:00,Hospital Source,EQP-QUI.URO.010-3.0,KIT,EQP,ENTER
2022-01-01T08:28:00.000000000+00:00,Cleaning Station,HNB-GIN.015-9.0,KIT,HNB,ENTER
2022-01-01T08:28:00.000000000+00:00,Cleaning Station,HNB-GIN.015-9.0,KIT,HNB,EXIT
2022-01-01T08:29:00.000000000+00:00,Washer,HNB-GIN.015-9.0,KIT,HNB,ENTER
2022-01-01T09:41:00.000000000+00:00,Washer,HNB-GIN.015-9.0,KIT,HNB,EXIT
2022-01-01T10:03:00.000000000+00:00,Inspection and Assembly Station,HNB-GIN.015-9.0,KIT,HNB,ENTER
2022-01-01T10:05:00.000000000+00:00,Inspection and Assembly Station,HNB-GIN.015-9.0,KIT,HNB,EXIT
2022-01-01T10:55:00.000000000+00:00,Sterilizer,HNB-GIN.015-9.0,KIT,HNB,ENTER
2022-01-01T12:27:00.000000000+00:00,Sterilizer,HNB-GIN.015-9.0,KIT,HNB,EXIT
2022-01-01T12:27:00.000000000+00:00,Storage,HNB-GIN.015-9.0,KIT,HNB,ENTER
2022-01-01T14:17:00.000000000+00:00,Storage,HNB-GIN.015-9.0,KIT,HNB,EXIT
2022-01-01T14:17:00.000000000+00:00,Hospital,HNB-GIN.015-9.0,KIT,HNB,ENTER
2022-01-01T18:47:00.000000000+00:00,Hospital Source,EQP-QUI.URO.010-3.0,KIT,EQP,EXIT
2022-01-01T18:47:00.000000000+00:00,Hospital Source,HUBU-URG.005-6.0,KIT,HUBU,ENTER
2022-01-01T19:01:00.000000000+00:00,Cleaning Station,EQP-QUI.URO.010-3.0,KIT,EQP,ENTER
2022-01-01T19:01:00.000000000+00:00,Cleaning Station,EQP-QUI.URO.010-3.0,KIT,EQP,EXIT
2022-01-01T19:01:00.000000000+00:00,Washer,EQP-QUI.URO.010-3.0,KIT,EQP,ENTER
2022-01-01T20:06:00.000000000+00:00,Washer,EQP-QUI.URO.010-3.0,KIT,EQP,EXIT
2022-01-01T20:29:00.000000000+00:00,Inspection and Assembly Station,EQP-QUI.URO.010-3.0,KIT,EQP,ENTER
2022-01-01T20:29:00.000000000+00:00,Inspection and Assembly Station,EQP-QUI.URO.010-3.0,KIT,EQP,EXIT
2022-01-01T20:29:00.000000000+00:00,Sterilizer,EQP-QUI.URO.010-3.0,KIT,EQP,ENTER
2022-01-01T21:46:00.000000000+00:00,Sterilizer,EQP-QUI.URO.010-3.0,KIT,EQP,EXIT
2022-01-01T21:46:00.000000000+00:00,Storage,EQP-QUI.URO.010-3.0,KIT,EQP,ENTER
2022-01-02T07:20:00.000000000+00:00,Hospital Source,HUBU-URG.005-6.0,KIT,HUBU,EXIT
2022-01-02T07:20:00.000000000+00:00,Hospital Source,HNB-CG.007-2.0,KIT,HNB,ENTER
2022-01-02T07:25:00.000000000+00:00,Cleaning Station,HUBU-URG.005-6.0,KIT,HUBU,ENTER
2022-01-02T07:25:00.000000000+00:00,Cleaning Station,HUBU-URG.005-6.0,KIT,HUBU,EXIT
2022-01-02T07:25:00.000000000+00:00,Washer,HUBU-URG.005-6.0,KIT,HUBU,ENTER
2022-01-02T09:11:00.000000000+00:00,Washer,HUBU-URG.005-6.0,KIT,HUBU,EXIT
2022-01-02T09:32:00.000000000+00:00,Inspection and Assembly Station,HUBU-URG.005-6.0,KIT,HUBU,ENTER
2022-01-02T09:33:00.000000000+00:00,Inspection and Assembly Station,HUBU-URG.005-6.0,KIT,HUBU,EXIT
